COUNTY,crop,xland,price,yld,revenue
Kern,Potatoes,18679.28052,444.581011,23.95,198891659.3
Kern,Safflower,738.8439503,574.3765351,1.258,533863.2823
Kern,Tomatoes Fresh Market,0,601.8655253,20.75666667,0
Kern,Tomatoes Processing,6903.808486,100.1550886,56.328,38948082.95
Kings,Alfalfa,26449.33212,285.073692,8.36,63034473.22
Kings,Corn,59616.11394,75.18588778,25.688,115141077.1
Kings,Cotton,87394.56651,3907.036899,0.834,284772466
Kings,Cucurbits,984.9261586,706.9312349,13.80155556,9609679
Kings,Dry Beans,527.1098899,1519.206929,1.48225,1186969.491
Kings,Grain,37985.36462,282.2866158,2.714,29101570.72
Kings,Onions & Garlic,5704.281026,2624.076001,7.733,115751154.9
Kings,Other Field,172.2379964,202.9331106,2.80625,98086.27358
Kings,Other Truck,2808.439459,1144.159544,16.63466667,53452221.16
Kings,Pasture,1721.467363,186.1966163,4.5,1442391.291
Kings,Safflower,12379.65608,574.3765351,1.258,8945114.628
Kings,Tomatoes Fresh Market,0,601.8655253,20.75666667,0
Kings,Tomatoes Processing,26109.35423,98.66545378,56.15,144647525.6
Lake,Corn,8.66806388,192.630931,9.22575,15404.57812
Lake,Cucurbits,3.34246661,202.6283347,12.01,8134.114101
Lake,Grain,1832.489375,214.9426226,2.838333333,1117962.938
Lake,Other Field,3.88320205,189.0772612,2.280833333,1674.645329
Lake,Other Truck,67.9218575,49733.85273,0.042125,142298.9096
Lake,Pasture,4263.452077,120.5428586,5,2569643.504
Lake,Rice,311.6135987,557.2050126,4.593333333,797552.6811
Lassen,Alfalfa,31134.32468,272.7176599,4.246666667,36057937.79
Lassen,Corn,5.67933692,123.4825096,17.92316667,12569.49485
Lassen,Cucurbits,8.50434172,502.8354559,12.21083333,52216.99788
Lassen,Grain,13824.31854,202.3866361,3.356666667,9391474.426
Lassen,Other Field,107.0606731,297.510454,4.6,146517.6796
Lassen,Other Truck,243.5727024,49733.85273,0.042125,510294.2003
Lassen,Pasture,47258.99426,27.14043029,3.5,4489203.038
Lassen,Rice,1612.289111,568.1817905,4.57425,4190348.356
Los Angeles,Alfalfa,5214.701051,267.244973,7.727,10768367.61
Los Angeles,Corn,164.3177533,430.5380599,14.463,1023185.61
Los Angeles,Cucurbits,12.84735421,933.9354917,9.2225,110657.0892
Los Angeles,Grain,6176.542476,299.3468083,2.38,4400449.298
Los Angeles,Onions & Garlic,491.1699605,1583.598209,11.901,9256786.665
Los Angeles,Other Field,2.11116149,143.496988,7.3475,2225.890702
Los Angeles,Other Truck,1498.829458,696.2135047,18.07633333,18862749.81
Los Angeles,Pasture,791.996363,1146.480148,5,4540040.539
Los Angeles,Potatoes,1830.792596,444.581011,23.95,19493758.18
Madera,Alfalfa,8313.473298,293.4236948,7.4825,18252586.41
Madera,Corn,19522.10282,70.7365386,27.252,37632994.81
Madera,Cotton,392.91,2717.966031,0.67,715503.7423
Madera,Cucurbits,48.53912045,428.5034499,16.374,340565.7826
Madera,Dry Beans,185.2935212,1175.588977,1.395,303871.4843
Madera,Grain,7719.592234,206.9963865,2.91,4649969.601
Madera,Onions & Garlic,245.2098637,659.1955182,5.8525,946005.3757
Madera,Other Truck,444.7504545,1377.207906,13.18333333,8074974.153
Madera,Pasture,1851.421222,149.4837314,5,1383786.763
Madera,Tomatoes Fresh Market,391.1277508,573.6745291,22.16666667,4973757.293
Madera,Tomatoes Processing,2816.119806,91.7118709,53.31333333,13769320.76
Marin,Corn,11.66673111,327.8273279,11.51866667,44055.13669
Marin,Grain,4622.052206,180.286649,2.279,1899077.719
Marin,Other Truck,134.1170471,591.4466351,19.98,1584875.063
Marin,Pasture,7641.634487,253.0627057,5,9669063.495
Mariposa,Grain,29.4045766,199.6445871,3.695333333,21693.32335
Mariposa,Pasture,81.47912833,148.3978315,5,60456.62977
Mendocino,Alfalfa,59.74146224,268.0878386,6.327,101332.9757
Mendocino,Grain,4768.097439,224.9667051,2.965,3180446.301
Mendocino,Other Truck,219.5862892,51775.30007,0.042,477504.1327
Mendocino,Pasture,19651.01646,21.10274905,3.5,1451416.641
Merced,Alfalfa,45004.36579,281.5913173,6.754,85592352.21
Merced,Corn,95743.33223,62.38281661,26.17,156306572.7
Merced,Cotton,31245.1634,3927.140192,0.776,95218410.32
Merced,Cucurbits,3271.910772,371.9425414,15.4,18741227.24
Merced,Dry Beans,808.3965745,1320.731671,1.33,1420007.695
Merced,Grain,38204.13694,187.4107868,4.498,32205083.4
Merced,Onions & Garlic,1277.147197,1903.04965,6.84425,16634775.28
Merced,Other Field,146.4343385,193.2220972,3.636,102878.2565
Merced,Other Truck,6134.83617,838.9320936,15.53511111,79954726.49
Merced,Pasture,22451.44698,199.8275687,5,22432090.32
Merced,Potatoes,15201.59772,1165.114685,14.862,263229869.6
Merced,Rice,1462.320105,579.2835722,4.702,3983054.863
Merced,Tomatoes Fresh Market,4481.852294,572.4627223,20.172,51755166.56
Merced,Tomatoes Processing,21738.21231,97.35254982,48.544,102732230.1
