region,crop_type,xland_base,xwater_base,revenue_base,xlandsc,xwatersc,revenuesc,shortage
San Joaquin,Vineyards,84121.52079,260649.2295,413514994.8,84121.52079,260649.2287,413514994.8,0
San Luis Obispo,Alfalfa and pasture,4175.055428,17116.47635,2791468.61,4175.055249,17116.47399,2791468.588,0
San Luis Obispo,Field and grain,22338.36094,20838.04322,13539705.37,22338.3612,20838.04329,13539705.52,0
San Luis Obispo,Orchards,12740.53289,35745.14729,115011516.8,12740.53289,35745.14701,115011516.8,0
San Luis Obispo,Vegetables,21148.34931,24875.20879,380590431.3,21148.34932,24875.20862,380590431.6,0
San Luis Obispo,Vineyards,45785.43036,112502.6034,320629752.6,45785.43036,112502.6025,320629752.6,0
San Mateo,Alfalfa and pasture,1365.49182,4661.806272,1456884.332,1365.491804,4661.806049,1456884.315,0
San Mateo,Field and grain,1545.982856,721.3807367,790356.8825,1545.982922,721.3807462,790356.9163,0
San Mateo,Orchards,41.23339039,121.9145898,254497.6219,41.23339037,121.9145861,254497.6216,0
San Mateo,Vegetables,2124.491839,2780.822371,24990212.23,2124.491841,2780.822295,24990212.26,0
San Mateo,Vineyards,158.7595692,398.4593589,1613469.874,158.7595692,398.4593477,1613469.874,0
Santa Barbara,Alfalfa and pasture,4363.550687,18046.78546,2741519.451,4363.550658,18046.78499,2741519.437,0
Santa Barbara,Field and grain,7516.574984,6722.91509,4910861.902,7516.57507,6722.915103,4910861.958,0
Santa Barbara,Orchards,10176.73411,27236.86415,114649211,10176.73411,27236.86392,114649211,0
Santa Barbara,Vegetables,56973.2354,63781.12175,807703782,56973.23544,63781.12128,807703782.4,0
Santa Barbara,Vineyards,22545.19644,55397.38893,189791619.9,22545.19644,55397.38847,189791619.9,0
Santa Clara,Alfalfa and pasture,819.3710192,3050.203519,1153008.532,819.3710073,3050.203376,1153008.515,0
Santa Clara,Field and grain,5314.997094,4929.644159,7249790.598,5314.997206,4929.644077,7249790.642,0
Santa Clara,Orchards,2428.012907,6916.641933,16115765.35,2428.012905,6916.641736,16115765.33,0
Santa Clara,Vegetables,9612.523839,12076.46516,108179883.9,9612.523842,12076.46484,108179883.9,0
Santa Clara,Vineyards,1572.17743,3888.038621,11882715.42,1572.17743,3888.038519,11882715.42,0
Santa Cruz,Alfalfa and pasture,861.4954444,3605.049418,1051565.018,861.4954425,3605.049293,1051565.015,0
Santa Cruz,Field and grain,1146.8417,983.3367891,552901.6518,1146.841774,983.336824,552901.6855,0
Santa Cruz,Orchards,2068.315674,5619.0599,7007757.203,2068.315675,5619.059757,7007757.208,0
Santa Cruz,Vegetables,11027.79853,12091.25354,134208669.7,11027.79856,12091.25327,134208670,0
Santa Cruz,Vineyards,590.8877188,1451.911801,6025973.055,590.8877189,1451.911766,6025973.056,0
Shasta,Alfalfa and pasture,42091.2059,165023.0522,39576234.72,42091.20594,165023.0514,39576234.77,0
Shasta,Field and grain,5334.921008,5118.642528,4031828.873,5334.921064,5118.642553,4031828.914,0
Shasta,Orchards,2192.990191,7068.98596,6748423.983,2192.990191,7068.985934,6748423.984,0
Shasta,Rice,4987.209719,22613.89292,12353599.05,4987.209719,22613.89282,12353599.05,0
Shasta,Vegetables,509.6000544,1287.908374,1141938.848,509.6000548,1287.908369,1141938.849,0
Shasta,Vineyards,146.4424543,389.7933968,414389.29,146.4424543,389.7933953,414389.2901,0
Sierra,Alfalfa and pasture,18854.00351,74064.12322,19835410.51,18854.00358,74064.12234,19835410.57,0
Sierra,Field and grain,698.2882892,550.993201,474378.2914,698.2883184,550.9932167,474378.3112,0
Siskiyou,Alfalfa and pasture,127543.6919,363277.9873,136896019.1,127543.6918,363277.9849,136896019.1,0
Siskiyou,Field and grain,35426.82115,43879.87679,29143992.58,35426.82132,43879.87674,29143992.72,0
Siskiyou,Orchards,50.68077249,145.722356,143295.3178,50.68077249,145.7223552,143295.3178,0
Siskiyou,Vegetables,8396.034726,18552.07267,33255296.22,8396.034727,18552.07257,33255296.22,0
Siskiyou,Vineyards,3.75211621,8.417189145,14131.66998,3.75211621,8.417189104,14131.66998,0
Solano,Alfalfa and pasture,45700.07335,173415.0568,47098542.55,45700.07319,173415.0549,47098542.38,0
Solano,Field and grain,48875.04624,73641.86545,33161342.35,48875.04652,73641.86507,33161342.52,0
Solano,Orchards,36882.3165,128723.5713,105535535.4,36882.31649,128723.5705,105535535.3,0
Solano,Vegetables,15526.3938,39043.00838,56386575.96,15526.3938,39043.00816,56386575.95,0
Solano,Vineyards,5196.457016,13370.80485,39707533.24,5196.457016,13370.80478,39707533.24,0
Sonoma,Alfalfa and pasture,5590.584767,17430.97373,4187265.476,5590.584711,17430.97327,4187265.434,0
Sonoma,Field and grain,19937.50974,14641.28419,8158147.724,19937.5099,14641.28408,8158147.79,0
Sonoma,Orchards,2358.334133,6594.329405,5367250.047,2358.334131,6594.329313,5367250.043,0
Sonoma,Vegetables,1092.339696,1873.950499,2487210.983,1092.339695,1873.950474,2487210.981,0
Sonoma,Vineyards,61842.41286,143034.9151,716779994.6,61842.41286,143034.9134,716779994.5,0
Stanislaus,Alfalfa and pasture,43134.51194,190892.8909,78321466.6,43134.51193,190892.8904,78321466.59,0
Stanislaus,Field and grain,64549.17547,133666.7483,107234176.1,64549.17556,133666.7481,107234176.2,0
Stanislaus,Orchards,242477.1743,895909.5798,1307278791,242477.1743,895909.5776,1307278791,0
Stanislaus,Rice,392.6881319,1898.222857,1069600.539,392.6881319,1898.222851,1069600.539,0
Stanislaus,Vegetables,19450.20496,47680.65222,227655612.8,19450.20497,47680.65213,227655612.9,0
Stanislaus,Vineyards,7655.698808,23721.06421,41427860.24,7655.698808,23721.06415,41427860.24,0
Sutter,Alfalfa and pasture,8011.218445,30198.62609,11651069.05,8011.218438,30198.62589,11651069.04,0
Sutter,Field and grain,29381.03007,57788.22967,25946867.05,29381.03019,57788.22947,25946867.14,0
Sutter,Orchards,78821.60213,266422.3155,220221556.2,78821.60213,266422.3142,220221556.2,0
Sutter,Rice,109958.3348,498592.6298,269707064.4,109958.3348,498592.6267,269707064.3,0
Sutter,Vegetables,17952.19952,45281.92523,62960848.81,17952.19955,45281.92508,62960848.87,0
Sutter,Vineyards,101.4852521,270.1285042,714754.9608,101.4852521,270.1285031,714754.9608,0
Tehama,Alfalfa and pasture,21226.11778,83651.44543,29209005.68,21226.11776,83651.44481,29209005.66,0
Tehama,Field and grain,10959.12845,13205.65588,7846426.164,10959.12857,13205.65589,7846426.237,0
Tehama,Orchards,73355.5121,242802.8043,247005065.7,73355.5121,242802.8029,247005065.7,0
Tehama,Rice,212.3181172,962.7305525,537439.6902,212.3181171,962.7305453,537439.69,0
Tehama,Vegetables,247.8772553,654.1745521,482404.629,247.8772554,654.1745483,482404.6292,0
Tehama,Vineyards,260.7351765,694.0122015,1937810.71,260.7351765,694.0121978,1937810.71,0
Trinity,Alfalfa and pasture,2632.989154,8081.590921,1822621.567,2632.989178,8081.590581,1822621.583,0
Trinity,Field and grain,61.38127301,75.31871313,43408.66177,61.38127751,75.31871534,43408.66496,0
Trinity,Orchards,8.60216633,24.73379712,20674.56129,8.602166337,24.73379619,20674.56131,0
Trinity,Vegetables,6.47989346,12.02751974,13285.27337,6.479893499,12.02751937,13285.27345,0
Trinity,Vineyards,128.6596722,288.624535,531060.5295,128.6596723,288.624525,531060.5298,0
Tulare,Alfalfa and pasture,40812.32422,185987.7378,100870736.3,40812.32416,185987.7369,100870736.1,0
Tulare,Field and grain,169790.9017,327284.7016,275495492.4,169790.9018,327284.7009,275495492.6,0
Tulare,Orchards,367140.4689,1341309.793,3016582416,367140.4689,1341309.79,3016582415,0
Tulare,Vegetables,8278.17954,15484.56734,106924692.6,8278.179544,15484.56731,106924692.6,0
Tulare,Vineyards,43485.96417,174331.5767,450253027.1,43485.96417,174331.5762,450253027.1,0
Tuolumne,Alfalfa and pasture,1367.348218,6290.057561,1256037.654,1367.348228,6290.057259,1256037.664,0
Tuolumne,Field and grain,53.13148707,24.79417191,26926.93555,53.13149326,24.79417389,26926.93869,0
Tuolumne,Orchards,165.7325329,569.7345876,481824.5184,165.7325332,569.7345664,481824.5193,0
Tuolumne,Vegetables,24.52970184,65.43868706,803420.2199,24.52970186,65.43868484,803420.2205,0
Tuolumne,Vineyards,51.8432861,160.6356192,325482.6678,51.84328614,160.6356135,325482.668,0
Ventura,Alfalfa and pasture,1707.008105,9466.079749,1772623.353,1707.008101,9466.079614,1772623.349,0
Ventura,Field and grain,3008.004015,4240.856237,2405883.202,3008.004054,4240.856252,2405883.231,0
Ventura,Orchards,44990.0353,146411.1919,475513137.6,44990.0353,146411.1909,475513137.6,0
Ventura,Vegetables,36507.89839,63599.81016,510001011.4,36507.89845,63599.80971,510001011.8,0
Ventura,Vineyards,88.89657233,254.3195632,1365432.075,88.89657233,254.3195615,1365432.075,0
Yolo,Alfalfa and pasture,39237.9603,145515.9045,50212363.26,39237.9602,145515.9035,50212363.15,0
Yolo,Field and grain,77053.53459,132516.6495,57362707.67,77053.53482,132516.649,57362707.8,0
